user_id,date,device,sex
CA-2015-163552,12-11-2022,Desktop,Female
CA-2015-163552,12-11-2022,Desktop,Male
CA-2015-163552,12-11-2022,Desktop,Male
CA-2015-163552,29-09-2022,Desktop,Female
CA-2015-163552,23-09-2023,Desktop,Male
CA-2017-109820,23-09-2023,Desktop,Male
CA-2017-109820,23-09-2023,Desktop,Female
CA-2017-109820,29-11-2021,Mobile,Male
CA-2017-113061,29-11-2021,Desktop,Female
CA-2016-127418,01-03-2022,Mobile,Female
CA-2018-121818,01-03-2022,Mobile,Female
CA-2018-121818,01-03-2022,Desktop,Female
CA-2017-127670,01-03-2022,Desktop,Male
CA-2017-102981,12-08-2022,Desktop,Male
CA-2017-102981,15-08-2022,Desktop,Male
CA-2018-115651,15-08-2022,Desktop,Female
CA-2018-115651,04-06-2023,Desktop,Female
CA-2018-152702,04-06-2023,Desktop,Female
CA-2017-169103,06-12-2021,Desktop,Male
CA-2017-169103,06-12-2021,Mobile,Male
CA-2015-139192,27-12-2021,Mobile,Female
CA-2015-139192,27-12-2021,Desktop,Female
US-2016-153500,21-01-2023,Desktop,Female
US-2016-153500,21-01-2023,Mobile,Male
US-2016-153500,25-06-2015,Desktop,Male
CA-2016-110667,14-06-2022,Desktop,Male
CA-2016-110667,14-06-2022,Desktop,Female
CA-2016-110667,14-06-2022,Desktop,Male
CA-2016-110667,14-06-2022,Mobile,Female
CA-2018-167150,21-04-2023,Desktop,Female
CA-2018-167150,21-04-2023,Desktop,Male
CA-2017-105284,21-10-2022,Desktop,Male
US-2016-125374,19-11-2022,Desktop,Female
CA-2016-161263,19-11-2022,Desktop,Male
CA-2016-161263,19-11-2022,Desktop,Female
CA-2016-161263,19-11-2022,Mobile,Male
CA-2016-161263,19-11-2022,Desktop,Male
CA-2016-161263,19-11-2022,Desktop,Female
CA-2016-161263,19-11-2022,Mobile,Male
CA-2017-157686,19-11-2022,Desktop,Male
US-2018-139955,18-12-2023,Desktop,Male
US-2016-150161,18-12-2023,Mobile,Male
CA-2016-144652,18-12-2023,Mobile,Male
CA-2017-152814,22-07-2022,Mobile,Male
CA-2018-106943,04-09-2021,Desktop,Male
CA-2017-134348,04-09-2021,Desktop,Female
CA-2017-134348,04-09-2021,Desktop,Female
CA-2017-134348,04-09-2021,Desktop,Male
CA-2017-161781,20-01-2015,Mobile,Female
CA-2018-132521,20-01-2015,Desktop,Female
CA-2018-132521,20-01-2015,Mobile,Male
CA-2018-132521,20-01-2015,Desktop,Female
CA-2016-110016,20-01-2015,Desktop,Female
CA-2016-110016,20-01-2015,Mobile,Male
US-2017-143819,02-03-2021,Desktop,Female
